unit_id,product_line,component_type,production_date,shift,operator_id,inspection_result,defect_type,production_time_mins,unit_cost_aud,client,line_id
10161,comms unit,Transceiver Module,10/05/2024,PM-Night,OP102,PASS,,-90,1871.05,Exp,Line B
10054,Antenna System,Patch Antenna,25-07-2023,night,OP123,PASS,None,N/A,"2,423.35",EXPORT,Line B
10178,rf assembly,Power Amplifier,2023-05-25,Nght,OP143,rework,Solder Bridge,45,771.48,mining,Line B
10164,comms unit,Power Supply Unit,"October 15, 2024",MORNING,OP130,pass,N/A,ninety,N/A,EXP,Line B
10400,comms unit,Power Supply Unit,30-04-2023,Morning,OP119,Rework,Solder Bridge,0,$468.81,Mining,Line C
10245,Comms Unit,Transceiver Module,29/02/2024,Nght,OP126,rework,Solder Bridge,forty,$1191.95,EXP,Line B
10013,RF ASSEMBLY,RF Module,04-Mar-23,AM,OP107,Re-work,Solder Bridge,one-twenty,($1658.01),Defence,Line A
10324,antenna system,Patch Antenna,2024-08-01,MORNING,OP135,Pass,None,forty,($2003.31),Defence,Line B
10338,RF assembly,RF Module,28/06/2023,Night,OP108,Pass,N/A,fifteen,$773.61,EXPORT,Line B
10440,Comms Unit,Encryption Board,2/5/2024,night,OP137,pass,None,90,,Export,Line C
10216,Antenna System,Dipole Antenna,4/3/2023,Nght,OP143,pass,,20,$906.96,DEFENCE,Line A
10450,ANTENNA SYSTEM,Horn Antenna,03.09.2024,afternoon,OP127,pass,,0,$1843.97,MINING,Line B
10316,rf assembly,RF Module,09-Apr-24,AFTERNOON,OP120,pass,N/A,forty,"$1,764.03",DEFENCE,Line A
10466,RF Assembly,Frequency Converter,"April 09, 2023",night,OP103,pass,N/A,120,,Export,Line B
10142,Comms Unit,Control Interface,06.09.2024,Afternoon,OP132,pass,,30,($972.77),Mining,Line A
10406,antenna system,Horn Antenna,28/07/2024,PM,OP144,Pass,N/A,-35,$974.91,EXP,Line A
10051,Comms Unit,Encryption Board,26/05/2023,MORNING,OP113,PASS,N/A,-25,882.35,export,Line C
10060,Comms Unit,Encryption Board,09-06-2023,night,OP143,PASS,,0,"1,188.80",DEF,Line C
10318,RF ASSEMBLY,Frequency Converter,24.04.2023,Night,OP131,PASS,,N/A,2463.45,Defence,Line A
10258,antenna system,Patch Antenna,19.09.2023,Afternoon,OP131,Fail,Cold Joint,0,($1803.63),MIN,Line C
10191,Antenna System,Horn Antenna,13-Feb-23,Morning,OP104,Re-work,Physical Damage,N/A,$830.36,Defence,Line B
10200,RF Assembly,Frequency Converter,"December 07, 2024",MORNING,OP106,pass,,60,"1,080.05",EXPORT,Line B
10421,RF ASSEMBLY,Signal Filter,20/03/2023,Aftn,OP149,pass,None,30,$494.14,defence,Line C
10359,RF Assembly,Signal Filter,5/10/2024,afternoon,OP148,pass,N/A,-120,504.75,mining,Line B
10185,comms unit,Control Interface,28/08/2024,Afternoon,OP119,Pass,,-40,,EXP,Line A
10172,Comms Unit,Power Supply Unit,17/08/2024,afternoon,OP136,FAIL,Physical Damage,0,504.52,mining,Line A
10005,Antenna System,Patch Antenna,2023-02-10,NIGHT,OP128,pass,None,-40,"$2,307.15",MINING,Line B
10293,Comms Unit,Control Interface,"March 09, 2023",MORNING,OP124,pass,None,40,$1519.44,Exp,Line B
10287,Antenna System,Patch Antenna,09/01/2024,AM,OP141,Fail,Calibration Error,0,N/A,MINING,Line C
10319,Antenna System,Yagi Array,13-11-2023,Morn,OP149,Pass,None,25,,DEFENCE,Line C
10426,Comms Unit,Control Interface,24-09-2024,PM,OP110,pass,None,50,N/A,EXPORT,Line A
10016,ANTENNA SYSTEM,Horn Antenna,2023-08-28,AM,OP150,Pass,N/A,0,"$2,463.43",export,Line B
10341,Antenna System,Patch Antenna,24-07-2023,Nght,OP141,PASS,,60,,defence,Line B
10097,antenna system,Horn Antenna,2023-04-04,Nght,OP122,Re-work,Solder Bridge,0,"$1,028.81",DEFENCE,Line B
10106,RF Assembly,RF Module,"April 12, 2023",night,OP102,PASS,None,N/A,1596.07,Defence,Line B
10383,RF assembly,Frequency Converter,24.04.2023,Morn,OP103,pass,,20,"$2,116.22",Min,Line C
10295,RF Assembly,Signal Filter,28.05.2023,AFTERNOON,,pass,,25,"1,380.19",DEFENCE,Line C
10470,Comms Unit,Power Supply Unit,26/04/2024,Night,OP123,Pass,N/A,-20,N/A,Export,Line A
10089,comms unit,Transceiver Module,"February 15, 2023",Aftn,OP141,pass,,fifty,2057.02,EXPORT,Line B
10381,RF ASSEMBLY,Signal Filter,2023-02-14,PM-Night,OP119,pass,,35,$1920.23,Def,Line B
10227,RF ASSEMBLY,RF Module,"May 08, 2023",AFTERNOON,OP147,PASS,N/A,N/A,"1,776.36",Exp,Line C
10304,Antenna System,Horn Antenna,22-Mar-23,PM,OP111,PASS,,-20,"1,703.16",mining,Line C
10411,Comms Unit,Transceiver Module,7/12/2024,Afternoon,OP146,rework,Physical Damage,-45,,Defence,Line A
10464,Comms Unit,Control Interface,09-06-2024,Morning,OP138,FAIL,Solder Bridge,25,N/A,Mining,Line B
10348,Antenna System,Patch Antenna,26/11/2024,Afternoon,OP148,Pass,N/A,-45,$1676.47,DEFENCE,Line A
10417,COMMS UNIT,Power Supply Unit,14-Jun-24,PM-Night,OP116,fail,Wrong Component,0,$821.11,DEF,Line A
10012,RF Assembly,Frequency Converter,26/6/2023,MORNING,OP120,fail,Solder Bridge,0,832.35,EXP,Line A
10007,COMMS UNIT,Control Interface,2024-06-04,MORNING,OP150,PASS,,0,"$1,494.85",export,Line C
10410,RF Assembly,Power Amplifier,09.03.2023,AFTERNOON,OP146,PASS,,90,444.52,Export,Line A
10285,Antenna System,Yagi Array,12-05-2023,night,OP127,Pass,,sixty,$864.69,Mining,Line C
10378,RF ASSEMBLY,RF Module,22.03.2023,Morn,OP135,pass,N/A,0,N/A,defence,Line C
10269,COMMS UNIT,Transceiver Module,"November 05, 2024",Nght,OP102,Fail,Solder Bridge,0,$771.94,export,Line C
10365,Antenna System,Horn Antenna,04.10.2024,Night,OP130,pass,,N/A,321.49,defence,Line B
10420,Antenna System,Horn Antenna,"July 28, 2023",PM,OP145,PASS,,-25,1360.20,Mining,Line A
10101,Antenna System,Yagi Array,2024-04-05,morning,OP118,Re-work,Cold Joint,-25,N/A,Mining,Line A
10469,rf assembly,Frequency Converter,25.05.2024,afternoon,,Re-work,Cold Joint,0,979.30,Def,Line B
10337,Comms Unit,Control Interface,03/07/2024,Nght,OP108,rework,Short Circuit,-45,256.32,Min,Line C
10027,RF ASSEMBLY,RF Module,17-Mar-23,Aftn,OP135,pass,,25,,Mining,Line C
10078,antenna system,Patch Antenna,08-Sep-24,Aftn,OP102,PASS,,N/A,($500.01),defence,Line B
10419,comms unit,Transceiver Module,07.02.2024,PM,OP132,pass,N/A,50,N/A,DEFENCE,Line B
10297,comms unit,Encryption Board,3/9/2024,AM,OP150,REWORK,Calibration Error,0,($1279.05),Export,Line C
10229,Comms Unit,Transceiver Module,2024-11-28,Morning,OP144,Pass,,N/A,N/A,DEF,Line B
10303,Comms Unit,Encryption Board,23-12-2024,Aftn,OP120,Re-work,Physical Damage,-45,"$2,398.21",Exp,Line C
10096,ANTENNA SYSTEM,Yagi Array,16/9/2024,Morn,OP117,Pass,N/A,thirty-five,"$1,772.06",Mining,Line B
10112,ANTENNA SYSTEM,Yagi Array,05-May-23,PM-Night,OP122,REWORK,Missing Component,-15,2394.99,Mining,Line B
10346,comms unit,Power Supply Unit,2023-08-08,Nght,OP135,Fail,Solder Bridge,0,712.31,Export,Line C
10155,RF assembly,Power Amplifier,13-Apr-23,Afternoon,OP106,Fail,Solder Bridge,sixty,"$1,106.23",mining,Line C
10132,RF ASSEMBLY,RF Module,20/10/2023,PM-Night,OP141,pass,,N/A,$2223.28,Exp,Line A
10371,Antenna System,Patch Antenna,24/10/2023,Morning,OP138,PASS,N/A,0,$1382.15,EXP,Line C
10017,ANTENNA SYSTEM,Patch Antenna,"April 26, 2023",morning,OP141,Pass,,-40,,DEF,Line A
10197,Comms Unit,Power Supply Unit,"June 11, 2024",MORNING,OP106,Pass,,forty,$166.05,DEF,Line B
10373,ANTENNA SYSTEM,Yagi Array,19/08/2024,AM,OP144,pass,,-50,N/A,MIN,Line C
10213,Antenna System,Yagi Array,2024-01-12,Morn,OP130,pass,N/A,0,,MIN,Line C
10086,RF assembly,Power Amplifier,22/6/2024,Aftn,OP104,Rework,Solder Bridge,0,($625.07),defence,Line A
10340,Antenna System,Dipole Antenna,2024-11-27,NIGHT,OP105,Re-work,Short Circuit,N/A,$460.07,mining,Line C
10045,RF Assembly,Frequency Converter,19.11.2024,NIGHT,,Pass,None,90,256.43,EXPORT,Line A
10416,Comms Unit,Encryption Board,28/04/2024,AM,OP149,pass,,N/A,"$1,204.06",MINING,Line A
10226,COMMS UNIT,Control Interface,02-05-2023,Aftn,OP108,Fail,Short Circuit,15,"$2,449.45",Export,Line C
10424,Comms Unit,Power Supply Unit,2023-08-24,afternoon,OP117,pass,,N/A,1595.07,DEF,Line A
10039,RF Assembly,Power Amplifier,02/04/2024,Morn,OP125,pass,None,fifteen,"1,334.16",DEF,Line C
10091,comms unit,Control Interface,31.08.2023,PM-Night,OP142,PASS,N/A,35,($1458.29),Exp,Line C
10070,rf assembly,Frequency Converter,"February 18, 2023",Night,OP150,pass,,forty-five,$854.74,export,Line C
10107,antenna system,Patch Antenna,04-11-2023,night,OP103,PASS,None,forty-five,749.24,Export,Line A
10395,ANTENNA SYSTEM,Dipole Antenna,2024-07-02,Morning,OP143,Pass,,0,($1852.12),DEF,Line B
10176,RF ASSEMBLY,RF Module,2023-01-16,PM-Night,OP147,PASS,None,ninety,$1082.09,MIN,Line B
10073,Antenna System,Horn Antenna,"June 30, 2024",AM,OP132,Re-work,Solder Bridge,-50,"2,298.68",Mining,Line B
10095,RF Assembly,Signal Filter,30/05/2023,AM,OP137,PASS,N/A,twenty-five,$925.18,Min,Line A
10063,ANTENNA SYSTEM,Yagi Array,15/5/2024,afternoon,OP150,Pass,,0,2477.26,MIN,Line A
10169,RF Assembly,Power Amplifier,27-02-2024,Nght,OP104,Fail,Cold Joint,N/A,($1027.02),Export,Line C
10090,Comms Unit,Power Supply Unit,17/01/2023,Aftn,OP100,pass,N/A,-60,,EXPORT,Line C
10147,antenna system,Dipole Antenna,09-04-2023,Morn,OP133,PASS,N/A,45,"$1,026.67",mining,Line C
10163,RF assembly,RF Module,12/01/2024,Night,OP141,Fail,Wrong Component,N/A,1448.85,Export,Line A
10130,COMMS UNIT,Encryption Board,26-May-24,Night,OP136,Rework,Physical Damage,fifteen,,EXPORT,Line C
10210,ANTENNA SYSTEM,Dipole Antenna,18.03.2023,PM-Night,OP142,PASS,,0,,EXPORT,Line B
10238,RF ASSEMBLY,Signal Filter,2024-07-31,PM,OP124,fail,Missing Component,forty-five,N/A,EXPORT,Line A
10467,comms unit,Encryption Board,11-Apr-23,Morn,OP121,pass,,40,,mining,Line B
10343,RF ASSEMBLY,Frequency Converter,18-03-2024,Night,OP124,pass,N/A,30,$342.79,MINING,Line C
10156,COMMS UNIT,Power Supply Unit,"November 21, 2023",MORNING,OP119,PASS,,25,$590.37,MIN,Line C
10003,Comms Unit,Encryption Board,27/01/2023,Afternoon,OP138,PASS,,-15,,DEFENCE,Line C
10019,COMMS UNIT,Transceiver Module,02-Dec-24,morning,OP119,Pass,,N/A,798.51,mining,Line A
10471,ANTENNA SYSTEM,Patch Antenna,2/10/2024,PM,OP129,PASS,,-45,"$2,127.79",export,Line B
10278,ANTENNA SYSTEM,Horn Antenna,28-10-2024,AM,OP144,PASS,None,-45,N/A,Export,Line B
10077,COMMS UNIT,Control Interface,21.01.2024,Nght,OP123,pass,None,0,,MIN,Line A
10405,Comms Unit,Transceiver Module,24.03.2024,Nght,OP150,fail,Wrong Component,-25,N/A,defence,Line C
10347,Antenna System,Dipole Antenna,4/4/2024,PM,OP132,Re-work,Physical Damage,-15,,MIN,Line C
10390,Comms Unit,Encryption Board,"September 12, 2023",morning,OP102,pass,,N/A,398.97,Def,Line A
10289,COMMS UNIT,Power Supply Unit,19-Jan-24,afternoon,OP137,Fail,Missing Component,N/A,$395.69,Exp,Line A
10154,RF assembly,RF Module,"November 16, 2023",afternoon,OP133,PASS,,N/A,899.44,Defence,Line C
10328,RF Assembly,RF Module,25/10/2024,Night,OP147,Pass,None,0,"$1,151.97",DEF,Line B
10067,COMMS UNIT,Transceiver Module,17-Oct-24,AFTERNOON,,Pass,,N/A,N/A,DEF,Line A
10183,Antenna System,Dipole Antenna,03-07-2024,Afternoon,OP129,pass,,-60,($1552.88),MINING,Line C
10134,RF ASSEMBLY,RF Module,13-04-2024,Nght,OP119,Rework,Calibration Error,-25,426.97,DEFENCE,Line A
10145,antenna system,Horn Antenna,04-03-2024,PM,OP111,pass,None,sixty,$1300.66,defence,Line B
10180,Antenna System,Yagi Array,10/1/2023,morning,OP124,Re-work,Wrong Component,N/A,,mining,Line B
10429,RF Assembly,Power Amplifier,14.08.2023,Morning,OP134,PASS,,0,416.05,Def,Line C
10252,Antenna System,Horn Antenna,2024-07-13,AFTERNOON,OP141,FAIL,Short Circuit,N/A,,EXP,Line A
10159,Antenna System,Patch Antenna,"August 03, 2023",Nght,OP140,pass,None,thirty,($2042.79),Mining,Line C
10354,antenna system,Yagi Array,21.12.2024,AM,OP132,Rework,Cold Joint,45,,Export,Line A
10461,COMMS UNIT,Transceiver Module,"May 30, 2023",Nght,OP143,Pass,N/A,N/A,1031.65,Export,Line A
10455,ANTENNA SYSTEM,Yagi Array,10/4/2024,Afternoon,OP149,Fail,Calibration Error,-50,,MIN,Line B
10231,rf assembly,Signal Filter,21.05.2024,Afternoon,OP121,Pass,,40,N/A,export,Line B
10146,RF Assembly,Signal Filter,27/3/2024,Morning,OP127,pass,None,-120,523.60,DEFENCE,Line C
10279,ANTENNA SYSTEM,Dipole Antenna,16-01-2024,Morning,OP119,Fail,Wrong Component,120,1803.69,DEF,Line B
10247,RF assembly,Signal Filter,15/6/2024,Morning,,Pass,,N/A,$316.45,DEFENCE,Line C
10219,RF Assembly,RF Module,12.01.2024,morning,OP148,REWORK,Solder Bridge,0,N/A,defence,Line B
10171,antenna system,Patch Antenna,26/2/2024,Nght,OP106,Pass,,N/A,$889.08,DEF,Line B
10309,Comms Unit,Transceiver Module,20.07.2024,night,OP101,fail,Missing Component,0,$1576.28,EXPORT,Line B
10018,Antenna System,Patch Antenna,21-May-24,MORNING,OP140,pass,,-40,,EXP,Line C
10475,ANTENNA SYSTEM,Patch Antenna,27/04/2024,Morning,OP100,Pass,,0,N/A,MIN,Line B
10021,Antenna System,Dipole Antenna,17-10-2024,AM,OP105,Pass,None,-60,N/A,export,Line C
10131,Comms Unit,Control Interface,16-Dec-24,NIGHT,OP115,Pass,,N/A,1588.90,Def,Line C
10259,COMMS UNIT,Encryption Board,13-01-2023,NIGHT,,PASS,N/A,-25,,EXP,Line B
10311,Comms Unit,Encryption Board,10-Dec-23,AM,OP116,fail,Calibration Error,N/A,"1,219.71",Defence,Line B
10301,COMMS UNIT,Control Interface,11.06.2023,night,OP136,Fail,Cold Joint,60,,Defence,Line A
10355,rf assembly,RF Module,28-01-2024,morning,OP102,pass,,-30,N/A,Mining,Line B
10315,RF Assembly,RF Module,03/05/2023,morning,OP133,Re-work,Solder Bridge,-50,"1,967.79",Mining,Line A
10150,Comms Unit,Encryption Board,2024-01-13,AM,OP119,Fail,Wrong Component,0,,export,Line A
10255,COMMS UNIT,Transceiver Module,07-Jan-23,Morning,OP122,pass,,40,"$1,933.48",EXP,Line C
10246,comms unit,Encryption Board,2023-07-30,AFTERNOON,OP103,REWORK,Calibration Error,35,$253.17,Exp,Line C
10342,ANTENNA SYSTEM,Horn Antenna,28/03/2023,Aftn,OP125,pass,,forty-five,706.41,EXP,Line B
10208,ANTENNA SYSTEM,Yagi Array,08.04.2024,Morn,OP112,pass,,25,$536.28,Mining,Line B
10292,RF Assembly,RF Module,1/8/2023,AM,OP107,pass,N/A,90,,Mining,Line A
10443,RF assembly,RF Module,10/02/2024,Night,OP111,PASS,,0,$737.15,DEFENCE,Line A
10015,RF Assembly,Power Amplifier,16-08-2023,Morn,OP123,fail,Solder Bridge,0,,DEFENCE,Line A
10056,RF assembly,Frequency Converter,05/12/2023,PM-Night,OP121,PASS,,0,N/A,MINING,Line B
10076,rf assembly,Frequency Converter,"June 26, 2023",Morn,OP117,Pass,,0,N/A,Def,Line B
10239,Antenna System,Dipole Antenna,31.03.2023,AFTERNOON,OP112,pass,None,0,"$2,017.89",export,Line C
10040,Antenna System,Horn Antenna,"December 19, 2023",AFTERNOON,OP101,Pass,,35,"$2,050.34",MIN,Line B
10212,COMMS UNIT,Transceiver Module,2023-04-13,Night,OP134,fail,Solder Bridge,0,,MINING,Line B
10472,RF assembly,Signal Filter,"August 29, 2024",night,OP122,Rework,Calibration Error,0,($1474.48),DEF,Line B
10352,comms unit,Transceiver Module,17/05/2024,MORNING,OP138,pass,,-15,$2307.06,export,Line A
10379,antenna system,Yagi Array,02/03/2023,morning,OP109,fail,Short Circuit,40,N/A,MINING,Line C
10188,RF ASSEMBLY,RF Module,27-11-2023,morning,OP127,FAIL,Calibration Error,forty,($1811.88),EXPORT,Line C
10179,antenna system,Patch Antenna,23.01.2024,NIGHT,OP108,Pass,,90,577.89,Exp,Line C
10388,RF Assembly,Power Amplifier,23-05-2024,Afternoon,OP115,PASS,None,120,N/A,Export,Line C
10387,Antenna System,Dipole Antenna,2023-09-29,Morn,OP122,Pass,,N/A,"$1,179.82",defence,Line B
10445,Antenna System,Yagi Array,13-Jul-24,MORNING,OP150,REWORK,Cold Joint,50,2028.11,Def,Line A
10202,ANTENNA SYSTEM,Dipole Antenna,"March 17, 2023",morning,OP110,fail,Solder Bridge,0,"$2,465.40",EXPORT,Line A
10201,antenna system,Horn Antenna,10/06/2023,MORNING,OP112,pass,N/A,-120,848.89,Defence,Line B
10268,Comms Unit,Transceiver Module,"February 25, 2023",Morning,OP118,fail,Physical Damage,fifty,$377.92,defence,Line C
10100,Antenna System,Horn Antenna,29.04.2023,night,OP131,rework,Solder Bridge,0,"1,060.69",Exp,Line B
10323,antenna system,Horn Antenna,15.02.2023,afternoon,OP114,fail,Solder Bridge,25,351.41,export,Line C
10263,antenna system,Dipole Antenna,01-Feb-24,Aftn,OP130,Pass,,35,,EXPORT,Line A
10214,COMMS UNIT,Encryption Board,04-04-2024,morning,OP112,PASS,,N/A,,Export,Line A
10248,comms unit,Control Interface,03/10/2023,AFTERNOON,OP135,PASS,,0,,MINING,Line A
10451,antenna system,Patch Antenna,08/03/2024,PM-Night,OP149,PASS,N/A,-45,"$1,050.15",Min,Line C
10335,Antenna System,Patch Antenna,10-Oct-23,morning,OP143,Fail,Wrong Component,forty,$265.83,Exp,Line B
10313,Antenna System,Yagi Array,07.11.2023,AM,OP144,Fail,Cold Joint,N/A,"1,968.97",Def,Line C
10266,Antenna System,Patch Antenna,2024-03-28,PM-Night,OP147,pass,N/A,0,2010.00,Def,Line C
10105,Comms Unit,Transceiver Module,20/06/2024,morning,OP112,Fail,Solder Bridge,50,N/A,DEF,Line B
10043,Antenna System,Horn Antenna,10/12/2024,Night,,pass,,N/A,"1,529.17",Mining,Line A
10061,Antenna System,Yagi Array,29-Jan-23,Morning,OP136,Fail,Short Circuit,thirty,"1,742.58",Export,Line B
10193,Comms Unit,Encryption Board,30-04-2024,Night,OP100,pass,N/A,-120,"$1,145.95",EXP,Line B
10447,ANTENNA SYSTEM,Patch Antenna,22.04.2024,Night,OP139,Pass,,-60,($1469.42),Min,Line B
10281,Antenna System,Horn Antenna,"March 07, 2023",AM,OP117,pass,N/A,thirty,$1365.64,Exp,Line A
10112,Comms Unit,Control Interface,28-11-2024,NIGHT,,PASS,N/A,N/A,1062.45,Min,Line C
10347,COMMS UNIT,Control Interface,2024-12-31,Night,OP150,pass,N/A,-60,,Export,Line C
10407,RF ASSEMBLY,Power Amplifier,27-04-2024,NIGHT,OP135,Fail,Calibration Error,40,$672.30,EXPORT,Line B
10013,ANTENNA SYSTEM,Yagi Array,24.09.2023,afternoon,OP130,pass,,fifty,,Export,Line B
10270,comms unit,Power Supply Unit,25-02-2023,morning,OP121,pass,,-25,$2176.63,export,Line A
10141,ANTENNA SYSTEM,Patch Antenna,17/11/2023,Morning,OP113,Fail,Physical Damage,N/A,,DEFENCE,Line A
10378,Comms Unit,Power Supply Unit,18-Feb-24,afternoon,OP102,pass,N/A,-15,($1928.59),DEF,Line A
10457,Comms Unit,Transceiver Module,"August 20, 2023",AM,OP124,PASS,None,20,850.78,mining,Line C
10207,comms unit,Power Supply Unit,04-12-2024,Afternoon,OP131,Pass,None,45,N/A,defence,Line A
10114,Comms Unit,Transceiver Module,"May 07, 2023",NIGHT,OP102,pass,N/A,0,264.18,Export,Line A
10020,Comms Unit,Encryption Board,12/07/2024,AFTERNOON,OP107,PASS,None,30,N/A,DEFENCE,Line C
10224,comms unit,Transceiver Module,03/04/2024,Aftn,OP107,Pass,,0,619.41,EXP,Line C
10241,RF ASSEMBLY,Frequency Converter,30-10-2023,Morning,OP113,FAIL,Missing Component,30,179.96,Exp,Line A
10119,Comms Unit,Transceiver Module,04/03/2023,NIGHT,OP116,PASS,N/A,N/A,,defence,Line A
10385,ANTENNA SYSTEM,Yagi Array,03/12/2024,MORNING,OP102,Pass,None,-40,($2252.14),Def,Line C
10370,RF ASSEMBLY,RF Module,07/07/2023,AFTERNOON,OP129,PASS,,forty-five,N/A,EXPORT,Line A
10298,RF Assembly,Frequency Converter,27/8/2024,night,OP128,PASS,N/A,90,,EXPORT,Line A
10308,Antenna System,Dipole Antenna,26/2/2024,Morning,OP141,pass,None,-120,N/A,EXPORT,Line C
10115,rf assembly,Signal Filter,"May 08, 2024",Night,OP124,pass,,fifteen,"$1,338.08",EXP,Line B
10399,RF Assembly,Frequency Converter,2023-11-25,Afternoon,OP103,pass,,forty-five,$335.25,export,Line C
10262,Antenna System,Horn Antenna,"April 02, 2024",MORNING,OP147,Fail,Wrong Component,45,1459.26,EXP,Line A
10372,comms unit,Transceiver Module,1/11/2024,Afternoon,OP103,FAIL,Missing Component,0,N/A,Export,Line B
10462,Comms Unit,Encryption Board,2023-04-10,Morning,OP140,rework,Physical Damage,-60,1799.93,Exp,Line A
10028,antenna system,Horn Antenna,20.04.2023,PM,OP107,Re-work,Cold Joint,fifty,1834.45,export,Line B
10331,RF Assembly,Power Amplifier,6/4/2024,Night,OP132,PASS,,60,"$1,450.08",EXP,Line C
10294,antenna system,Patch Antenna,05/12/2023,AFTERNOON,OP138,Re-work,Wrong Component,ninety,792.95,Def,Line B
10087,RF assembly,Frequency Converter,08.09.2024,Nght,OP120,fail,Calibration Error,thirty,N/A,Def,Line C
